# =========================================================================
# گزارش کانال‌های غیرفعال تلگرام (عدم انتشار پروکسی در بیش از 7 روز اخیر)
# تاریخ بروزرسانی: 2026-09-01 07:35:33 UTC
# تعداد کل کانال‌های غیرفعال: 87
# =========================================================================

@iProxy                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@proxy_confiig             | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@aklisvpn                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@begoo_vpn                 | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@configx2ray               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@lrnbymaa                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@merlinvpn                 | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@v2ray_official            | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@WebPackClub               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@acccrd                    | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@ahwaziconnect             | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@airdrop2033               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@allworldcfg               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@amir_webstudio            | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@an0nymousteam             | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@antimeli                  | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@arash_vpn                 | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@aristapnel                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@arshia_mod_fun            | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@asrnovin_ir               | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@azadnet                   | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@bahamestanazadi           | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
@bugfreenet                | ⏳ نامشخص (هیچ پروکسی در آرشیو یافت نشد) | آخرین پروکسی: یافت نشد
